id,label,entity_types,relation_types,qualifier_types,evidence_json
0,0,credit_card;family_member;location;money;personal_information;phone_call;third_party;victim,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,coercive_pressure;institutional_pretext;requested_action_type;urgency,"{""entity:victim"": [""이름""], ""entity:credit_card"": [""카드""], ""entity:personal_information"": [""이름""], ""entity:money"": [""돈"", ""예산"", ""현금"", ""수수료""], ""entity:phone_call"": [""전화""], ""entity:location"": [""주변"", ""장소"", ""어디"", ""거리""], ""entity:family_member"": [""아버지"", ""사기"", ""가족""], ""entity:third_party"": [""친구"", ""가족""], ""relation:impersonates_official"": [""입니다""], ""relation:creates_urgency"": [""지금"", ""합니다""], ""relation:mentions_case_number"": [""말씀""], ""relation:requests_personal_info"": [""이름""], ""relation:claims_financial_loss"": [""있습니다"", ""돈"", ""문제"", ""있으니""], ""relation:requests_physical_action"": [""가서"", ""거리""], ""relation:warns_against_disclosure"": [""주변"", ""사람"", ""다른"", ""친구"", ""가족""], ""relation:creates_false_narrative"": [""사기"", ""이용""], ""relation:demands_secrecy"": [""합니다""], ""relation:requests_verification_code"": [""합니다""], ""relation:mentions_suspicious_activity"": [""해외"", ""사용"", ""사기"", ""활동""], ""relation:requests_remote_control"": [""합니다""], ""relation:refers_to_family"": [""아버지"", ""가족""], ""relation:normal_call"": [""다음에"", ""있어"", ""그럼""], ""qualifier:urgency"": [""지금""], ""qualifier:coercive_pressure"": [""사기"", ""아버지"", ""가족""], ""qualifier:requested_action_type"": [""수수료""], ""qualifier:institutional_pretext"": [""청""]}"
1,0,case_number;family_member;personal_information;third_party;victim,claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,coercive_pressure;institutional_pretext;urgency,"{""entity:victim"": [""이름""], ""entity:personal_information"": [""이름""], ""entity:case_number"": [""사건""], ""entity:family_member"": [""부모님"", ""가족"", ""할머니"", ""할아버지"", ""어머니""], ""entity:third_party"": [""가족""], ""relation:demands_money_transfer"": [""보내""], ""relation:creates_urgency"": [""지금"", ""합니다""], ""relation:mentions_case_number"": [""사건"", ""말씀""], ""relation:requests_personal_info"": [""이름""], ""relation:claims_financial_loss"": [""우려"", ""문제""], ""relation:warns_against_disclosure"": [""가족"", ""사람"", ""다른""], ""relation:creates_false_narrative"": [""사건""], ""relation:induces_fear"": [""무서워""], ""relation:demands_secrecy"": [""합니다""], ""relation:requests_verification_code"": [""합니다"", ""보내""], ""relation:requests_specific_action"": [""인터넷""], ""relation:requests_remote_control"": [""해주"", ""합니다""], ""relation:refers_to_family"": [""부모님"", ""가족"", ""할머니"", ""할아버지"", ""어머니""], ""relation:normal_call"": [""요즘"", ""있어"", ""그럼"", ""봐""], ""qualifier:urgency"": [""지금""], ""qualifier:coercive_pressure"": [""기만"", ""부모님"", ""가족"", ""아버지"", ""어머니"", ""사건"", ""병원비""], ""qualifier:institutional_pretext"": [""청""]}"
2,0,family_member;loan;location;money;third_party;victim,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,coercive_pressure;urgency,"{""entity:victim"": [""개인""], ""entity:loan"": [""대부""], ""entity:money"": [""현금""], ""entity:location"": [""집"", ""거리"", ""편의점"", ""위치""], ""entity:family_member"": [""딸""], ""entity:third_party"": [""다른 사람""], ""relation:impersonates_official"": [""입니다""], ""relation:creates_urgency"": [""합니다"", ""빨리""], ""relation:claims_financial_loss"": [""있으니""], ""relation:requests_physical_action"": [""거리"", ""편의점"", ""가서""], ""relation:warns_against_disclosure"": [""다른"", ""사람""], ""relation:creates_false_narrative"": [""관련"", ""이용""], ""relation:demands_secrecy"": [""합니다"", ""있어야""], ""relation:requests_verification_code"": [""합니다""], ""relation:requests_remote_control"": [""합니다"", ""해주""], ""relation:refers_to_family"": [""딸""], ""relation:normal_call"": [""밥"", ""있어"", ""요즘"", ""그럼""], ""qualifier:urgency"": [""빨리""], ""qualifier:coercive_pressure"": [""딸""]}"
3,0,case_number;location;money;third_party;victim,claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,coercive_pressure;institutional_pretext;urgency,"{""entity:victim"": [""개인""], ""entity:money"": [""돈""], ""entity:case_number"": [""사건""], ""entity:location"": [""집"", ""거리"", ""편의점"", ""주변""], ""entity:third_party"": [""친구""], ""relation:demands_money_transfer"": [""보내""], ""relation:impersonates_official"": [""입니다""], ""relation:creates_urgency"": [""합니다"", ""지금"", ""급하게""], ""relation:mentions_case_number"": [""말씀"", ""사건""], ""relation:claims_financial_loss"": [""있습니다"", ""돈"", ""있으니"", ""문제""], ""relation:requests_physical_action"": [""거리"", ""편의점""], ""relation:warns_against_disclosure"": [""다른"", ""친구"", ""사람"", ""주변에""], ""relation:creates_false_narrative"": [""사건"", ""관련"", ""이용""], ""relation:demands_secrecy"": [""알고"", ""합니다"", ""정보"", ""있어야""], ""relation:requests_verification_code"": [""합니다"", ""보내"", ""온""], ""relation:mentions_suspicious_activity"": [""부정"", ""활동""], ""relation:requests_specific_action"": [""프로그램""], ""relation:requests_remote_control"": [""합니다""], ""relation:normal_call"": [""있어"", ""요즘"", ""봐"", ""그럼"", ""건강""], ""qualifier:urgency"": [""지금""], ""qualifier:institutional_pretext"": [""청""], ""qualifier:coercive_pressure"": [""사건"", ""수술""]}"
4,0,family_member;location;money;phone_call;third_party,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,coercive_pressure;urgency,"{""entity:money"": [""돈""], ""entity:phone_call"": [""연락""], ""entity:location"": [""집""], ""entity:family_member"": [""가족""], ""entity:third_party"": [""친구"", ""가족"", ""다른 사람""], ""relation:impersonates_official"": [""입니다""], ""relation:creates_urgency"": [""합니다"", ""빨리"", ""지금""], ""relation:mentions_case_number"": [""말씀""], ""relation:requests_personal_info"": [""달라""], ""relation:requests_security_code"": [""달라""], ""relation:claims_financial_loss"": [""돈"", ""있으니"", ""우려""], ""relation:requests_physical_action"": [""가서""], ""relation:warns_against_disclosure"": [""사람"", ""친구"", ""다른"", ""가족"", ""사람에게""], ""relation:creates_false_narrative"": [""되었습니다""], ""relation:demands_secrecy"": [""합니다""], ""relation:requests_verification_code"": [""합니다"", ""온""], ""relation:requests_remote_control"": [""합니다"", ""해주""], ""relation:refers_to_family"": [""가족""], ""relation:normal_call"": [""요즘"", ""밥"", ""그럼"", ""있어"", ""연락""], ""qualifier:urgency"": [""빨리"", ""지금""], ""qualifier:coercive_pressure"": [""가족""]}"
5,0,caller;case_number;family_member;location;money;third_party,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;impersonates_official;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,coercive_pressure;urgency,"{""entity:caller"": [""상대방""], ""entity:money"": [""돈"", ""비용"", ""자산"", ""자금""], ""entity:case_number"": [""사건""], ""entity:location"": [""집""], ""entity:family_member"": [""가족"", ""남편"", ""아들"", ""딸"", ""자녀""], ""entity:third_party"": [""가족"", ""친구""], ""relation:impersonates_official"": [""입니다""], ""relation:creates_urgency"": [""지금"", ""빨리""], ""relation:mentions_case_number"": [""말씀"", ""사건""], ""relation:claims_financial_loss"": [""있습니다"", ""돈"", ""자산"", ""자금""], ""relation:cites_legal_authority"": [""법""], ""relation:requests_physical_action"": [""가서""], ""relation:warns_against_disclosure"": [""가족"", ""친구"", ""사람"", ""다른""], ""relation:creates_false_narrative"": [""사건""], ""relation:induces_fear"": [""사고""], ""relation:requests_verification_code"": [""온""], ""relation:requests_remote_control"": [""하겠습니다""], ""relation:refers_to_family"": [""가족"", ""남편"", ""아들"", ""딸"", ""자녀""], ""relation:normal_call"": [""요즘"", ""있어"", ""봐"", ""그럼""], ""qualifier:urgency"": [""지금"", ""빨리""], ""qualifier:coercive_pressure"": [""가족"", ""아들"", ""딸"", ""자녀"", ""어머니"", ""사건""]}"
6,0,government_agency;loan;location;money;personal_information;third_party;victim,cites_legal_authority;claims_financial_loss;demands_secrecy;mentions_suspicious_activity;normal_call;requests_personal_info;requests_physical_action;requests_security_code;requests_verification_code;warns_against_disclosure,institutional_pretext,"{""entity:victim"": [""이름""], ""entity:government_agency"": [""시청""], ""entity:loan"": [""대부""], ""entity:personal_information"": [""이름""], ""entity:money"": [""돈""], ""entity:location"": [""어디"", ""거리"", ""건물"", ""집"", ""주변""], ""entity:third_party"": [""다른 사람""], ""relation:requests_personal_info"": [""달라"", ""이름""], ""relation:requests_security_code"": [""달라""], ""relation:claims_financial_loss"": [""돈""], ""relation:cites_legal_authority"": [""법""], ""relation:requests_physical_action"": [""가서"", ""거리"", ""어딘가""], ""relation:warns_against_disclosure"": [""다른"", ""사람"", ""주변""], ""relation:demands_secrecy"": [""알고""], ""relation:requests_verification_code"": [""온""], ""relation:mentions_suspicious_activity"": [""해외""], ""relation:normal_call"": [""있어"", ""그럼"", ""봐""], ""qualifier:institutional_pretext"": [""청""]}"
7,0,document;family_member;location;money,cites_legal_authority;claims_financial_loss;creates_urgency;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_verification_code;warns_against_disclosure,coercive_pressure;temporal_pressure;urgency,"{""entity:money"": [""돈""], ""entity:document"": [""보고서""], ""entity:location"": [""어디"", ""집""], ""entity:family_member"": [""어머니"", ""남편""], ""relation:creates_urgency"": [""지금""], ""relation:mentions_case_number"": [""확인""], ""relation:claims_financial_loss"": [""돈""], ""relation:cites_legal_authority"": [""법""], ""relation:requests_physical_action"": [""가서""], ""relation:warns_against_disclosure"": [""사람"", ""다른""], ""relation:requests_verification_code"": [""온""], ""relation:mentions_suspicious_activity"": [""확인""], ""relation:refers_to_family"": [""어머니"", ""남편""], ""relation:normal_call"": [""요즘"", ""있어"", ""건강"", ""봐"", ""그럼""], ""qualifier:urgency"": [""지금""], ""qualifier:coercive_pressure"": [""어머니"", ""수술""], ""qualifier:temporal_pressure"": [""검증"", ""확실히""]}"
8,0,family_member;location;police_officer;third_party,claims_financial_loss;claims_identity_theft;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,coercive_pressure;urgency,"{""entity:police_officer"": [""경사""], ""entity:location"": [""주변"", ""근처"", ""집""], ""entity:family_member"": [""피해"", ""가족""], ""entity:third_party"": [""친구"", ""가족""], ""relation:impersonates_official"": [""입니다"", ""왔습니다""], ""relation:creates_urgency"": [""합니다"", ""바로"", ""피해"", ""발생"", ""지금""], ""relation:claims_identity_theft"": [""피해"", ""발생""], ""relation:claims_financial_loss"": [""있습니다"", ""피해"", ""발생""], ""relation:requests_physical_action"": [""가서""], ""relation:warns_against_disclosure"": [""사람"", ""주변에"", ""친구"", ""가족""], ""relation:induces_fear"": [""겁니다""], ""relation:demands_secrecy"": [""합니다"", ""알고""], ""relation:requests_verification_code"": [""합니다""], ""relation:mentions_suspicious_activity"": [""활동""], ""relation:requests_specific_action"": [""다운""], ""relation:requests_remote_control"": [""합니다""], ""relation:refers_to_family"": [""피해"", ""가족""], ""relation:normal_call"": [""있어"", ""그럼""], ""qualifier:urgency"": [""지금""], ""qualifier:coercive_pressure"": [""피해"", ""기만"", ""가족"", ""바이러스""]}"
9,0,family_member;investigation;location;money;personal_information;third_party;victim,cites_legal_authority;claims_financial_loss;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,coercive_pressure;institutional_pretext;urgency,"{""entity:victim"": [""개인""], ""entity:investigation"": [""조사""], ""entity:personal_information"": [""여권""], ""entity:money"": [""돈""], ""entity:location"": [""장소"", ""어디"", ""주변"", ""거리""], ""entity:family_member"": [""가족"", ""남편""], ""entity:third_party"": [""가족"", ""친구""], ""relation:creates_urgency"": [""지금"", ""바로"", ""합니다""], ""relation:mentions_case_number"": [""말씀""], ""relation:claims_financial_loss"": [""돈""], ""relation:cites_legal_authority"": [""조사""], ""relation:requests_physical_action"": [""가서"", ""거리""], ""relation:warns_against_disclosure"": [""가족"", ""친구"", ""다른"", ""주변에"", ""사람""], ""relation:induces_fear"": [""위험""], ""relation:demands_secrecy"": [""합니다""], ""relation:requests_verification_code"": [""온"", ""합니다""], ""relation:mentions_suspicious_activity"": [""해외""], ""relation:requests_specific_action"": [""카카오톡"", ""앱""], ""relation:requests_remote_control"": [""합니다""], ""relation:refers_to_family"": [""가족"", ""위험"", ""남편""], ""relation:normal_call"": [""다음에"", ""있어"", ""하자"", ""봐"", ""요즘""], ""qualifier:urgency"": [""지금""], ""qualifier:coercive_pressure"": [""가족""], ""qualifier:institutional_pretext"": [""청"", ""조사""]}"
