id,field,tp,fp,fn,pred,gold
22,entities,1,3,1,family_member;location;third_party;victim,family_member;money
22,relations,2,13,0,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
22,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
70,entities,1,5,1,family_member;location;personal_information;phone_call;third_party;victim,family_member;money
70,relations,2,11,0,cites_legal_authority;claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
70,qualifiers,0,2,1,coercive_pressure;institutional_pretext,temporal_pressure
73,entities,3,4,0,bank_account;bank_employee;family_member;location;money;third_party;victim,bank_account;family_member;money
73,relations,1,16,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;mentions_account_freeze;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;threatens_arrest;warns_against_disclosure,creates_urgency
73,qualifiers,1,3,2,coercive_pressure;institutional_pretext;transfer_channel;urgency,requested_action_type;temporal_pressure;transfer_channel
97,entities,1,4,1,family_member;location;personal_information;third_party;victim,family_member;money
97,relations,2,10,0,creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
97,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
98,entities,1,5,1,family_member;location;money;phone_call;third_party;victim,money;security_code
98,relations,2,12,0,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;warns_against_disclosure,creates_urgency;normal_call
98,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
135,entities,2,5,0,bank_employee;family_member;location;money;personal_information;third_party;victim,family_member;money
135,relations,2,10,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_urgency;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
135,qualifiers,1,3,1,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure;transfer_channel
164,entities,2,4,0,case_number;family_member;location;money;third_party;victim,family_member;money
164,relations,2,9,1,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call;threatens_arrest
164,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
189,entities,2,5,0,caller;family_member;location;money;personal_information;third_party;victim,family_member;money
189,relations,2,14,0,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
189,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
201,entities,2,3,0,family_member;location;money;third_party;victim,family_member;money
201,relations,2,10,0,claims_financial_loss;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
201,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
203,entities,2,4,0,document;family_member;location;money;third_party;victim,family_member;money
203,relations,2,16,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
203,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
221,entities,1,3,0,family_member;location;money;third_party,money
221,relations,1,11,0,claims_financial_loss;demands_money_transfer;demands_secrecy;induces_fear;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,normal_call
221,qualifiers,0,3,0,institutional_pretext;requested_action_type;temporal_pressure,
229,entities,2,5,0,family_member;location;money;personal_information;phone_call;third_party;victim,family_member;money
229,relations,2,6,0,claims_financial_loss;creates_urgency;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;warns_against_disclosure,creates_urgency;normal_call
229,qualifiers,0,4,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,temporal_pressure
248,entities,2,4,0,family_member;location;money;personal_information;third_party;victim,family_member;money
248,relations,2,13,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
248,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
265,entities,1,3,1,case_number;family_member;loan;third_party,family_member;money
265,relations,1,12,1,claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;threatens_arrest
